source_file,keypoint_index,keypoint,best_match_sentence,best_match_score,best_match_author,best_match_sentence_id,best_match_filename,similarity_method
e27c2df5592e4c63a9ad10a04895734c.csv,1,"```json
[
    ""Nursing is often misunderstood and undervalued by those who don't see the full picture",But thre is this one nurse that stood out.,0.4096,USER,5,e27c2df5592e4c63a9ad10a04895734c.csv,sentence-bert
e27c2df5592e4c63a9ad10a04895734c.csv,2,""",
    ""A personal experience with a compassionate nurse inspired the author to pursue nursing","i wish  people woiuld see this part of nursing,not just the helping part,but the hurt behind it, how it hurts to see all we see , the heart being it, the art behind it,the grit the humanity and what it takes to be one .
so yeah am a certified nurse but also a sister a friend a flawed messy funny person who found purpose in a profession that asks a lot but gives a lot too.",0.6318,USER,16,e27c2df5592e4c63a9ad10a04895734c.csv,sentence-bert
e27c2df5592e4c63a9ad10a04895734c.csv,3,""",
    ""Nursing involves chaos, anxiety, and emotional challenges beyond just compassion","i wanted to be there for some one else as they did for me.
nursing isnt just companssion and warm blankets , its chaos , its adrenaline, its pure anxiety and rush, its breathe taking, its something not just any one can handle with ease as it seems or thought to be.it is wiping tears it is having bad hard  conversations ,and sometimes seeking solace in the washrooms with tears rolling down cheeks for few min while trying to put one and yourself together.
its literally not easy .",0.6523,USER,11,e27c2df5592e4c63a9ad10a04895734c.csv,sentence-bert
e27c2df5592e4c63a9ad10a04895734c.csv,4,""",
    ""The author continues nursing because people and their stories matter deeply","i wish  people woiuld see this part of nursing,not just the helping part,but the hurt behind it, how it hurts to see all we see , the heart being it, the art behind it,the grit the humanity and what it takes to be one .
so yeah am a certified nurse but also a sister a friend a flawed messy funny person who found purpose in a profession that asks a lot but gives a lot too.",0.584,USER,16,e27c2df5592e4c63a9ad10a04895734c.csv,sentence-bert
e27c2df5592e4c63a9ad10a04895734c.csv,5,""",
    ""Nursing is a demanding yet rewarding profession that requires humanity and grit","i wish  people woiuld see this part of nursing,not just the helping part,but the hurt behind it, how it hurts to see all we see , the heart being it, the art behind it,the grit the humanity and what it takes to be one .
so yeah am a certified nurse but also a sister a friend a flawed messy funny person who found purpose in a profession that asks a lot but gives a lot too.",0.6688,USER,16,e27c2df5592e4c63a9ad10a04895734c.csv,sentence-bert
3ba9f76102bf4662a4c2718458183c5d.csv,1,"```json
[
    ""Questioning the necessity of college for success led to exploring alternative paths","However, I couldn't help but question this narrative; after all, hadn't countless entrepreneurs and innovators achieved success without a traditional achieved success without a traditional college degree?",0.5208,USER_AND_API,3,3ba9f76102bf4662a4c2718458183c5d.csv,sentence-bert
3ba9f76102bf4662a4c2718458183c5d.csv,2,""",
    ""Stories of successful individuals without degrees inspired a focus on real-world skills","However, I couldn't help but question this narrative; after all, hadn't countless entrepreneurs and innovators achieved success without a traditional achieved success without a traditional college degree?",0.6009,USER_AND_API,3,3ba9f76102bf4662a4c2718458183c5d.csv,sentence-bert
3ba9f76102bf4662a4c2718458183c5d.csv,3,""",
    ""Choosing an unconventional path fostered personal growth and self-discovery","As I continued on my unconventional journey, I discovered niches and opportunities that aligned with my passions and skills, which might have gone unnoticed if I had followed the conventional route.",0.6748,API,26,3ba9f76102bf4662a4c2718458183c5d.csv,sentence-bert
3ba9f76102bf4662a4c2718458183c5d.csv,4,""",
    ""Mentors supporting nontraditional paths provided confidence and reassurance",Conversations with mentors who supported nontraditional paths gave me the confidence and reassurance I needed to keep moving forward.,0.8282,USER_AND_API,17,3ba9f76102bf4662a4c2718458183c5d.csv,sentence-bert
3ba9f76102bf4662a4c2718458183c5d.csv,5,""",
    ""Embracing the unconventional led to opportunities aligned with passions and skills","As I continued on my unconventional journey, I discovered niches and opportunities that aligned with my passions and skills, which might have gone unnoticed if I had followed the conventional route.",0.6578,API,26,3ba9f76102bf4662a4c2718458183c5d.csv,sentence-bert
7a84644b671144b29973ab0ffe23898a.csv,1,"```json
[
    ""Breaking the poverty cycle involves improving access to basic needs, healthcare, and education","Title; Break the Cycle of Poverty and Improve Health 
Ever lie awake at night, your mind filled with thoughts on how to break the poverty cycle in the community by making everyone afford their basic needs and help them keep the health more strong by having the best medical care and educate them on eating healthy foods.",0.5406,USER,0,7a84644b671144b29973ab0ffe23898a.csv,sentence-bert
7a84644b671144b29973ab0ffe23898a.csv,2,""",
    ""An online donation platform was created to fund these initiatives, but initial funding was insufficient","Seeing that my project was moving in the right direction, government, private education and health organization moved in to help my dream come true, they  donated money to push the movement forward.

The other main idea was to break the poverty cycle by at least equipping individuals with the right knowledge, skills and opportunity to  improve their economic prospective and for this to be achieved resources like important books , modern technology access with high qualified teachers must the available in schools.",0.4621,USER,4,7a84644b671144b29973ab0ffe23898a.csv,sentence-bert
