source_file,keypoint_index,keypoint,best_match_sentence,best_match_score,best_match_author,best_match_sentence_id,best_match_filename
e27c2df5592e4c63a9ad10a04895734c.csv,1,"```json
[
    ""Nursing is often misunderstood and undervalued by those who don't see the full picture","They  dont see the full picture.
The truth is i didnt grow up dreaming working in hospitals or working to know how to insert an iv.",0.1905,USER,3,e27c2df5592e4c63a9ad10a04895734c.csv
e27c2df5592e4c63a9ad10a04895734c.csv,2,""",
    ""A personal experience with a compassionate nurse inspired the author's career choice","this is me as a nurse for sure, real.",0.1818,USER,17,e27c2df5592e4c63a9ad10a04895734c.csv
e27c2df5592e4c63a9ad10a04895734c.csv,3,""",
    ""Nursing involves chaos, adrenaline, and emotional challenges, not just compassion","she was present and available all through the hard moments and times .she was gentle, present, human and just.",0.1379,USER,8,e27c2df5592e4c63a9ad10a04895734c.csv
e27c2df5592e4c63a9ad10a04895734c.csv,4,""",
    ""Despite the difficulties, the author chooses nursing because people and their stories matter",I wish that people would see what i see and appreciate it.,0.16,USER,15,e27c2df5592e4c63a9ad10a04895734c.csv
e27c2df5592e4c63a9ad10a04895734c.csv,5,""",
    ""The author wishes for greater appreciation of the emotional and human aspects of nursing",she is the person who gave me light in one of my darkest seasons of my life.,0.1935,USER,9,e27c2df5592e4c63a9ad10a04895734c.csv
3ba9f76102bf4662a4c2718458183c5d.csv,1,"```json
[
    ""Questioning the necessity of college for success led to exploring alternative paths",I remember vividly the time when I found myself at odds with a commonly held belief about the necessity of attending college to be successful.,0.2632,API,0,3ba9f76102bf4662a4c2718458183c5d.csv
3ba9f76102bf4662a4c2718458183c5d.csv,2,""",
    ""Stories of successful individuals without degrees inspired a shift in perspective","I realized that questioning widely accepted beliefs is not a sign of rebellion, but a necessary step in finding one’s own direction.",0.1765,USER,11,3ba9f76102bf4662a4c2718458183c5d.csv
3ba9f76102bf4662a4c2718458183c5d.csv,3,""",
    ""Pursuing real-world skills and internships provided valuable learning experiences","This perspective shift encouraged me to focus more on developing real-world skills, pursuing internships, and learning through online platforms.",0.3333,USER,6,3ba9f76102bf4662a4c2718458183c5d.csv
3ba9f76102bf4662a4c2718458183c5d.csv,4,""",
    ""Mentors and nontraditional paths offered confidence and reassurance",Conversations with mentors who supported nontraditional paths gave me the confidence and reassurance I needed to keep moving forward.,0.4444,USER_AND_API,17,3ba9f76102bf4662a4c2718458183c5d.csv
3ba9f76102bf4662a4c2718458183c5d.csv,5,""",
    ""Resisting conformity led to personal growth and a fulfilling, purpose-driven life","It led me to build a life rooted in curiosity, resilience, and self direction.",0.3077,USER,21,3ba9f76102bf4662a4c2718458183c5d.csv
